iter	Passed	Remaining
0	0	40
1	0	37
2	1	35
3	1	32
4	1	32
5	2	31
6	2	30
7	2	30
8	3	31
9	3	32
10	4	32
11	4	32
12	4	32
13	5	31
14	5	31
15	5	30
16	6	30
17	6	29
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	10	24
31	11	24
32	11	24
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	14	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	29	6
83	29	5
84	30	5
85	30	4
86	31	4
87	31	4
88	32	4
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
