iter	Passed	Remaining
0	1	1126
1	1	736
2	1	620
3	2	560
4	2	514
5	2	482
6	3	478
7	3	460
8	4	449
9	4	441
10	4	435
11	5	424
12	5	413
13	5	408
14	6	400
15	6	393
16	6	386
17	6	380
18	7	378
19	7	375
20	7	372
21	8	371
22	8	369
23	8	365
24	9	362
25	9	362
26	9	360
27	10	359
28	10	358
29	11	355
30	11	354
31	11	353
32	12	354
33	12	354
34	12	354
35	13	354
36	13	353
37	13	352
38	14	351
39	14	352
40	15	353
41	15	353
42	15	353
43	16	352
44	16	351
45	16	350
46	17	351
47	17	352
48	18	350
49	18	348
50	18	347
51	19	350
52	19	348
53	19	346
54	20	345
55	20	343
56	20	341
57	20	340
58	21	339
59	21	338
60	21	337
61	22	336
62	22	334
63	22	335
64	23	334
65	23	333
66	23	332
67	24	331
68	24	332
69	24	331
70	25	330
71	25	331
72	26	330
73	26	329
74	26	328
75	26	327
76	27	326
77	27	326
78	28	327
79	28	326
80	28	326
81	29	325
82	29	322
83	29	321
84	29	321
85	30	320
86	30	320
87	30	319
88	31	319
89	31	319
90	31	318
91	32	317
92	32	317
93	32	317
94	33	317
95	33	317
96	34	316
97	34	316
98	34	315
99	35	315
100	35	314
101	35	315
102	36	314
103	36	316
104	37	315
105	37	315
106	37	314
107	38	313
108	38	313
109	38	312
110	38	311
111	39	312
112	39	311
113	40	311
114	40	311
115	40	310
116	41	309
117	41	309
118	41	308
119	42	308
120	42	307
121	42	307
122	43	307
123	43	306
124	43	306
125	44	306
126	44	304
127	44	304
128	44	303
129	45	303
130	45	303
131	46	302
132	46	302
133	46	302
134	47	302
135	47	301
136	47	301
137	48	300
138	48	300
139	48	299
140	49	299
141	49	297
142	49	297
143	49	296
144	50	296
145	50	295
146	50	295
147	51	295
148	51	294
149	51	294
150	52	293
151	52	292
152	52	292
153	53	291
154	53	291
155	53	290
156	54	290
157	54	289
158	54	289
159	55	288
160	55	287
161	55	287
162	55	286
163	56	286
164	56	286
165	56	285
166	57	285
167	57	285
168	57	284
169	58	284
170	58	284
171	58	283
172	59	283
173	59	282
174	59	282
175	60	282
176	60	281
177	60	281
178	61	280
179	61	280
180	61	280
181	62	279
182	62	279
183	62	278
184	63	278
185	63	277
186	63	277
187	64	277
188	64	276
189	64	276
190	65	275
191	65	275
192	65	275
193	66	274
194	66	274
195	66	273
196	67	273
197	67	272
198	67	272
199	67	271
200	68	271
201	68	270
202	68	270
203	69	270
204	69	269
205	69	269
206	70	269
207	70	269
208	71	268
209	71	268
210	71	267
211	71	267
212	72	267
213	72	266
214	72	266
215	73	265
216	73	264
217	73	264
218	74	264
219	74	264
220	74	263
221	75	263
222	75	262
223	75	262
224	76	262
225	76	261
226	76	261
227	77	260
228	77	260
229	77	260
230	77	259
231	78	258
232	78	258
233	78	258
234	79	258
235	79	257
236	79	257
237	80	256
238	80	256
239	80	255
240	81	255
241	81	254
242	81	254
243	82	254
244	82	254
245	82	253
246	83	253
247	83	253
248	83	253
249	84	253
250	84	253
251	85	252
252	85	252
253	85	251
254	86	251
255	86	251
256	86	250
257	87	250
258	87	250
259	87	249
260	88	249
261	88	249
262	89	249
263	89	249
264	89	249
265	90	249
266	90	248
267	90	248
268	91	247
269	91	247
270	91	247
271	92	246
272	92	246
273	92	246
274	93	245
275	93	245
276	93	245
277	94	245
278	94	244
279	95	244
280	95	244
281	95	244
282	96	243
283	96	243
284	96	242
285	97	242
286	97	242
287	97	241
288	98	241
289	98	241
290	98	241
291	99	240
292	99	240
293	99	240
294	100	240
295	100	239
296	101	239
297	101	238
298	101	238
299	101	237
300	102	237
301	102	237
302	103	237
303	103	236
304	103	236
305	104	236
306	104	236
307	104	235
308	105	235
309	105	235
310	106	235
311	106	234
312	106	234
313	107	234
314	107	234
315	108	234
316	108	234
317	109	233
318	109	233
319	109	233
320	110	232
321	110	232
322	110	232
323	111	231
324	111	231
325	111	231
326	112	231
327	112	230
328	113	230
329	113	230
330	113	230
331	114	229
332	114	229
333	114	228
334	115	228
335	115	228
336	115	227
337	116	227
338	116	227
339	116	226
340	117	226
341	117	225
342	118	226
343	118	226
344	119	226
345	119	225
346	119	225
347	120	225
348	120	224
349	120	224
350	121	223
